,img_name,label_name
1,엔트러사이트한남1,"Swimming pool,Property,Building,Architecture,Leisure,House,Leisure centre,Resort,Interior design,Glass"
2,엔트러사이트한남2,"Sky,Rainbow,Urban area,Metropolitan area,City,Cloud,Daytime,Metropolis,Cityscape,Human settlement"
3,엔트러사이트한남3,"Latte,Flat white,Caffè macchiato,Caffeine,Cortado,Coffee,Café au lait,Mocaccino,White coffee,Coffee cup"
4,엔트러사이트한남4,"Yellow,Cut flowers,Flower,Plant,Still life photography,Bouquet,Floristry,Still life,Floral design,Flower Arranging"
5,엔트러사이트한남5,"Yellow,Fashion,Leg,Room,Textile,Long hair,Fashion design,Sitting,Jeans,Photography"
6,엔트러사이트한남6,"Room,Window,Furniture,Interior design,Table,Glass,Desk,Window treatment,Plant,Houseplant"
7,엔트러사이트한남7,"Food,Dish,Cuisine,Fast food,Ingredient,Comfort food,Junk food,Vegan nutrition,Produce,Sandwich"
8,엔트러사이트한남8,"Dog,Vertebrate,Canidae,Mammal,Maltepoo,Toy Poodle,Dog breed,Miniature Poodle,Poodle,Companion dog"
9,엔트러사이트한남9,"Food,Chocolate,Cuisine,Non-alcoholic beverage,Ingredient,Cup,Chocolate milk,Dish,Dessert,Hot chocolate"
10,엔트러사이트한남10,"Flowerpot,Mason jar,Tree,Plant,Houseplant,Crock"
11,엔트러사이트한남11,"Face,Hair,Forehead,Eyebrow,Chin,Cheek,Nose,Hairstyle,Jaw,Black hair"
12,엔트러사이트한남12,"Wall,Text,Font,Wood,Concrete,Beige"
13,엔트러사이트한남13,"Dish,Food,Cuisine,Pizza,Flatbread,Ingredient,Leaf vegetable,Goat cheese,Spinach,Arugula"
14,엔트러사이트한남14,"Green,Flowerpot,Houseplant,Flower,Plant,Botany,Table,Floristry,Vascular plant,Room"
15,엔트러사이트한남15,"Drink,Cup,Coffee,Food,Oliang,Cup,Iced coffee,Coffee cup,Non-alcoholic beverage,Caffè americano"
16,엔트러사이트한남16,"Serveware,Porcelain,Table,Saucer,Tableware,Dishware,Coffee table,Tray,Circle,Dinnerware set"
17,엔트러사이트한남17,"Flat white,Coffee,Latte,Ristretto,Cortado,Cup,Caffè macchiato,Single-origin coffee,Café au lait,Caffeine"
18,엔트러사이트한남18,"Serveware,Espresso,Cup,Tray,Saucer,Coffee,Cappuccino,Table,Coffee cup,Cup"
